"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1876418462299631668","Mon Jan 06 23:59:58 +0000 2025","0","Kalau melihat rekam jejak kepelatihan Patrick Kluiverr yang disebut sebut calon kuat pengganti STY maka cukup bikin cemas juga https://t.co/gGQ2rZaVD4","1876418462299631668","","","in","Jakarta, Indonesia","0","0","0","https://x.com/LayarPixel/status/1876418462299631668","72466001","LayarPixel"
"1876275930706170255","Mon Jan 06 23:59:56 +0000 2025","4","@kapulagaoreo terima kasih sudah diingatkan selama ini timnas kalah yg diserang STY ternyata salah. yg harus dikritik ternyata ya si pssi and the genk..sama si towel anjing kli ya","1876418456587002351","","kapulagaoreo","in","","0","0","0","https://x.com/situmejik/status/1876418456587002351","1315474206071517184","situmejik"
"1876196713683399100","Mon Jan 06 23:59:54 +0000 2025","3","@pechdrink Justru kalo seandainya (amit2) timnas kalah sama bahren di gbk nanti gw berharap suporter timnas yang di stadion ngechants namanya STY lagi sebagai tanda protes kalo kita gak puas dengan kinerja pelatih baru","1876418446172594560","","pechdrink","in","Balikpapan - Manchester","0","0","0","https://x.com/muammarfadhilah/status/1876418446172594560","554873150","muammarfadhilah"
"1876133493513839092","Mon Jan 06 23:59:54 +0000 2025","1","@idextratime Nih guys sosok pengganti sty sudah tiba di jakarta https://t.co/3OPRujLq4G","1876418445098860562","","idextratime","in","","0","0","0","https://x.com/ArduZahor5914/status/1876418445098860562","1853985837052215296","ArduZahor5914"
"1876418418553086375","Mon Jan 06 23:59:47 +0000 2025","8","kenapa STY dipecat padahal yang gabisa kerja kan polisi :(","1876418418553086375","","","in","Bandung","0","1","1","https://x.com/olraitbro/status/1876418418553086375","828811598282100736","olraitbro"
"1876165316944023913","Mon Jan 06 23:59:47 +0000 2025","0","@dimassiaaa @LupaIngata53682 @idextratime beda dikit dibilang towal towel otak dongok loo isinya hate doang anjing ada disitu gua bioang benci STY? malah gua puji krna memang bawa timnas naik tapi kan itu krna dibantu diaspora buktiny klo pake pemain lokal STY zonk ga ad apa2nya babiii2","1876418416929812982","","dimassiaaa","in","","0","0","0","https://x.com/BaBiBuBe_GoG/status/1876418416929812982","1197834075358126081","BaBiBuBe_GoG"
"1876418414681735358","Mon Jan 06 23:59:46 +0000 2025","6","Presiden Republik Indonesia Prabowo Subianto masuk daftar 10 pemimpin dunia yang berpengaruh di tahun 2025 versi media Singapura Straits Times. PSSI Susunya Downgrade Van Gaal Towel STY STY Erick Thohir https://t.co/JKa80lKza6","1876418414681735358","https://pbs.twimg.com/ext_tw_video_thumb/1876418365637693440/pu/img/sDpqBmBkETmnzWZV.jpg","","in","","0","2","6","https://x.com/night_sandi/status/1876418414681735358","2221352234","night_sandi"
"1876333176051892711","Mon Jan 06 23:59:29 +0000 2025","0","@d_dz78 @AdityaDapp46371 @idextratime simplenya gini STY juga pas awal masuk dihujat kok dibilangin ngapain ambil ni pelatih sama korea aja dikeluarin tapi buktinya apa? bisa bagus2 aja kan? belom mulai mah belom bisa dinilai brok","1876418341562417195","","d_dz78","in","Makassar, Indonesia","0","0","0","https://x.com/abcdefghizzaaa/status/1876418341562417195","1552305214392532992","abcdefghizzaaa"
"1876418335367463315","Mon Jan 06 23:59:27 +0000 2025","0","Gw yg bukan anak bola gw yakin orang kita juga kaget dan gak mau STY ni di pecat. PSSI doang yg mau. Jadi ya kalo apa2 di negara ini gak maju ya jelas karna orang2 pusat kek gini","1876418335367463315","","","in","","0","0","1","https://x.com/awaaikk/status/1876418335367463315","49145962","awaaikk"
"1876418327129759768","Mon Jan 06 23:59:26 +0000 2025","0","Baru bangun tidur berharap pemecatan STY adalah hanya mimpi. Ternyata masih tetep sama ya? ","1876418327129759768","","","in","","0","0","0","https://x.com/lachibolala0613/status/1876418327129759768","2586669558","lachibolala0613"
